"SEQN","FSD160","FSD170N","FSD180","FSD190","FSD200","FSQ400","FSQ410","FSQ420","FSQ430","FSQ440","FSD450","FSQ460","FSQ470","FSQ480","FSQ490","FSQ500","FSQ510","FSD520","FSD655","FSD660C","FSD665","FSQ650","FSD660M","FSD670","HHFDSEC","ADFDSEC","CHFDSEC"
10279,1,1,2,,,,,,,,,,,,,,,,1,1,3,,,,1,1,1
10280,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10281,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10282,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10283,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10284,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10285,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10286,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,4
10287,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10288,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,
10289,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10290,1,,,,,,,,,,,,,,,,,,1,1,5,,,,1,1,1
10291,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10292,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10293,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10294,1,3,2,,,1,10,1,1,2,1,6,,,,,,,,,,2,,,3,4,2
10295,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10296,1,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,1
10297,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10298,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10299,1,1,2,,,,,,,,,,,,,,,,,,,,,,2,2,1
10300,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10301,2,4,1,12,1,,,,,,,,,,,,,,,,,,,,1,1,1
10302,1,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,2
10303,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10304,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10305,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,3
10306,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10307,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10308,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10309,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10310,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10311,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10312,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10313,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10314,,,,,,,,,,,,,,,,,,,,,,,,,,,
10315,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10316,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10317,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10318,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10319,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10320,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10321,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10322,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10323,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10324,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10325,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10326,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10327,1,4,1,12,1,,,,,,,,,,,,,,1,1,3,,,,1,1,1
